
running ccs
/home/ash022/anaconda3/envs/py37/lib/python3.7/site-packages/tensorflow/python/framework/dtypes.py:526: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint8 = np.dtype([("qint8", np.int8, 1)])
/home/ash022/anaconda3/envs/py37/lib/python3.7/site-packages/tensorflow/python/framework/dtypes.py:527: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint8 = np.dtype([("quint8", np.uint8, 1)])
/home/ash022/anaconda3/envs/py37/lib/python3.7/site-packages/tensorflow/python/framework/dtypes.py:528: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint16 = np.dtype([("qint16", np.int16, 1)])
/home/ash022/anaconda3/envs/py37/lib/python3.7/site-packages/tensorflow/python/framework/dtypes.py:529: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint16 = np.dtype([("quint16", np.uint16, 1)])
/home/ash022/anaconda3/envs/py37/lib/python3.7/site-packages/tensorflow/python/framework/dtypes.py:530: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint32 = np.dtype([("qint32", np.int32, 1)])
/home/ash022/anaconda3/envs/py37/lib/python3.7/site-packages/tensorflow/python/framework/dtypes.py:535: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  np_resource = np.dtype([("resource", np.ubyte, 1)])
unique sequences training 648 test 73
done generating data trainsize: 334 testsize 76
{'lab_name': 'label', 'fname': 'cache/one_dat_cache_full_label.npy', 'num_input': 32, 'timesteps': 66, 'num_hidden': 128, 'num_layers': 2, 'num_classes': 1, 'dropout_keep_prob': 0.9, 'use_uncertainty': False, 'use_attention': True, 'simple': False, 'num_tasks': -1, 'batch_size': 64, 'model_dir': 'out//', 'model_dir_pretrain': None, 'lr_base': 0.001, 'training_steps': 55000, 'reduce_lr_step': 50000, 'train_file': 'evidence.txt_proc_2_test.pkl', 'test_file': 'evidence.txt_proc_2_test.pkl', 'reduce_train': 0.5, 'scaling_dict': {'0': (6.7287, 163.77)}}
Tensor("concat:0", shape=(?, 256), dtype=float32) Tensor("stack_bidirectional_rnn/cell_1/bidirectional_rnn/bw/bw/while/Exit_4:0", shape=(?, 128), dtype=float32) Tensor("stack_bidirectional_rnn/cell_1/bidirectional_rnn/fw/fw/while/Exit_4:0", shape=(?, 128), dtype=float32)
WARNING:tensorflow:From /home/ash022/anaconda3/envs/py37/lib/python3.7/site-packages/tensorflow/python/data/ops/dataset_ops.py:1419: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:tensorflow:From /mnt/c/Users/animeshs/GD/DeepCollisionalCrossSection/models.py:23: BasicLSTMCell.__init__ (from tensorflow.python.ops.rnn_cell_impl) is deprecated and will be removed in a future version.
Instructions for updating:
This class is equivalent as tf.keras.layers.LSTMCell, and will be replaced by that in Tensorflow 2.0.
WARNING:tensorflow:From /home/ash022/anaconda3/envs/py37/lib/python3.7/site-packages/tensorflow/contrib/rnn/python/ops/rnn.py:233: bidirectional_dynamic_rnn (from tensorflow.python.ops.rnn) is deprecated and will be removed in a future version.
Instructions for updating:
Please use `keras.layers.Bidirectional(keras.layers.RNN(cell))`, which is equivalent to this API
WARNING:tensorflow:From /home/ash022/anaconda3/envs/py37/lib/python3.7/site-packages/tensorflow/python/ops/rnn.py:443: dynamic_rnn (from tensorflow.python.ops.rnn) is deprecated and will be removed in a future version.
Instructions for updating:
Please use `keras.layers.RNN(cell)`, which is equivalent to this API
WARNING:tensorflow:From /home/ash022/anaconda3/envs/py37/lib/python3.7/site-packages/tensorflow/python/ops/losses/losses_impl.py:667: to_float (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
2021-06-04 21:08:34.969748: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2021-06-04 21:08:34.990599: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 3392140000 Hz
2021-06-04 21:08:34.994221: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x5564e3427380 executing computations on platform Host. Devices:
2021-06-04 21:08:34.994268: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2021-06-04 21:08:35.063375: E tensorflow/stream_executor/cuda/cuda_driver.cc:300] failed call to cuInit: CUDA_ERROR_NO_DEVICE: no CUDA-capable device is detected
2021-06-04 21:08:35.063515: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:148] kernel driver does not appear to be running on this host (DMED7596): /proc/driver/nvidia/version does not exist
Step 0, Minibatch Loss= 0.2020 time elapsed: 1.9010s
Step 1, Minibatch Loss= 0.0678 time elapsed: 0.7013s
Step 200, Minibatch Loss= 0.0174 time elapsed: 48.9246s
Step 400, Minibatch Loss= 0.0080 time elapsed: 51.9219s
Step 600, Minibatch Loss= 0.0029 time elapsed: 51.8196s
Step 800, Minibatch Loss= 0.0003 time elapsed: 51.5833s
Step 1000, Minibatch Loss= 0.0003 time elapsed: 51.4807s
Step 1200, Minibatch Loss= 0.0001 time elapsed: 51.5319s
Step 1400, Minibatch Loss= 0.0001 time elapsed: 51.6816s
Step 1600, Minibatch Loss= 0.0000 time elapsed: 52.8598s
Step 1800, Minibatch Loss= 0.0001 time elapsed: 52.7186s
Step 2000, Minibatch Loss= 0.0001 time elapsed: 53.1497s
Step 2200, Minibatch Loss= 0.0004 time elapsed: 53.0930s
Step 2400, Minibatch Loss= 0.0001 time elapsed: 54.1490s
Step 2600, Minibatch Loss= 0.0000 time elapsed: 52.7364s
Step 2800, Minibatch Loss= 0.0000 time elapsed: 50.5339s
Step 3000, Minibatch Loss= 0.0000 time elapsed: 50.6352s
Step 3200, Minibatch Loss= 0.0000 time elapsed: 51.6778s
Step 3400, Minibatch Loss= 0.0005 time elapsed: 53.0666s
Step 3600, Minibatch Loss= 0.0000 time elapsed: 53.2564s
Step 3800, Minibatch Loss= 0.0000 time elapsed: 53.1604s
Step 4000, Minibatch Loss= 0.0000 time elapsed: 53.1826s
Step 4200, Minibatch Loss= 0.0002 time elapsed: 52.3894s
Step 4400, Minibatch Loss= 0.0004 time elapsed: 50.6771s
Step 4600, Minibatch Loss= 0.0000 time elapsed: 51.2317s
Step 4800, Minibatch Loss= 0.0000 time elapsed: 51.1880s
Step 5000, Minibatch Loss= 0.0001 time elapsed: 52.4661s
Step 5200, Minibatch Loss= 0.0002 time elapsed: 51.3058s
Step 5400, Minibatch Loss= 0.0000 time elapsed: 51.6023s
Step 5600, Minibatch Loss= 0.0000 time elapsed: 50.7788s
Step 5800, Minibatch Loss= 0.0001 time elapsed: 50.6573s
Step 6000, Minibatch Loss= 0.0000 time elapsed: 50.7080s
Step 6200, Minibatch Loss= 0.0000 time elapsed: 50.5825s
Step 6400, Minibatch Loss= 0.0000 time elapsed: 50.6091s
Step 6600, Minibatch Loss= 0.0000 time elapsed: 50.6747s
Step 6800, Minibatch Loss= 0.0000 time elapsed: 51.1181s
Step 7000, Minibatch Loss= 0.0001 time elapsed: 51.0567s
Step 7200, Minibatch Loss= 0.0000 time elapsed: 50.9956s
Step 7400, Minibatch Loss= 0.0000 time elapsed: 50.9845s
Step 7600, Minibatch Loss= 0.0000 time elapsed: 50.6556s
Step 7800, Minibatch Loss= 0.0003 time elapsed: 50.7190s
Step 8000, Minibatch Loss= 0.0000 time elapsed: 50.2866s
Step 8200, Minibatch Loss= 0.0000 time elapsed: 50.7803s
Step 8400, Minibatch Loss= 0.0000 time elapsed: 50.9190s
Step 8600, Minibatch Loss= 0.0003 time elapsed: 50.7563s
Step 8800, Minibatch Loss= 0.0000 time elapsed: 50.5333s
Step 9000, Minibatch Loss= 0.0000 time elapsed: 50.9180s
Step 9200, Minibatch Loss= 0.0000 time elapsed: 50.3522s
Step 9400, Minibatch Loss= 0.0000 time elapsed: 51.1115s
Step 9600, Minibatch Loss= 0.0000 time elapsed: 50.7637s
Step 9800, Minibatch Loss= 0.0005 time elapsed: 50.4766s
Step 10000, Minibatch Loss= 0.0000 time elapsed: 50.4721s
model saved
Step 10200, Minibatch Loss= 0.0000 time elapsed: 50.7336s
Step 10400, Minibatch Loss= 0.0000 time elapsed: 49.9567s
Step 10600, Minibatch Loss= 0.0001 time elapsed: 50.1298s
Step 10800, Minibatch Loss= 0.0001 time elapsed: 50.0556s
Step 11000, Minibatch Loss= 0.0000 time elapsed: 49.9623s
